row_id,top1,top2,top3,delta_CO2_1,delta_CO2_2,delta_CO2_3,score_1,score_2,score_3
21773,insulation_wall,windows,insulation_roof,324.604727684036,17.0902391957388,0,324.604727684036,17.0902391957388,0
21774,insulation_wall,windows,insulation_roof,267.852164164649,171.246466577492,71.8213982677926,267.852164164649,171.246466577492,71.8213982677926
21775,insulation_wall,insulation_roof,windows,163.966460209674,153.704039164365,5.17724406310208,163.966460209674,153.704039164365,5.17724406310208
21776,insulation_wall,windows,insulation_roof,421.729974988925,221.023007117657,15.4917524792781,421.729974988925,221.023007117657,15.4917524792781
21777,insulation_wall,insulation_roof,windows,293.712935809779,84.160526947202,81.4232156009075,293.712935809779,84.160526947202,81.4232156009075
21778,insulation_wall,insulation_roof,windows,125.380931171357,70.2958551258307,27.0316126612906,125.380931171357,70.2958551258307,27.0316126612906
21779,insulation_wall,windows,insulation_roof,414.276477280011,330.085472835845,28.0243697289679,414.276477280011,330.085472835845,28.0243697289679
21780,insulation_wall,insulation_roof,windows,406.205755949428,192.299696946444,177.416327393867,406.205755949428,192.299696946444,177.416327393867
21781,windows,insulation_wall,insulation_roof,315.957393327275,299.570561300207,112.842785320355,315.957393327275,299.570561300207,112.842785320355
21782,insulation_wall,insulation_roof,windows,364.288528768782,256.697359501446,161.174398807193,364.288528768782,256.697359501446,161.174398807193
21783,insulation_wall,windows,insulation_roof,156.416002344151,91.5904311806726,85.2061202568011,156.416002344151,91.5904311806726,85.2061202568011
21784,insulation_wall,windows,insulation_roof,303.432993369577,163.12194328403,38.3887932669295,303.432993369577,163.12194328403,38.3887932669295
21785,windows,insulation_roof,insulation_wall,137.280711423939,137.187975578703,112.984118514078,137.280711423939,137.187975578703,112.984118514078
21786,insulation_wall,windows,insulation_roof,261.566283913955,126.111491308689,56.1012025683858,261.566283913955,126.111491308689,56.1012025683858
21787,insulation_wall,insulation_roof,windows,175.60512089317,98.2066430448513,87.5338428373816,175.60512089317,98.2066430448513,87.5338428373816
21788,windows,insulation_roof,insulation_wall,158.190312701042,63.8342602129596,0,158.190312701042,63.8342602129596,0
21789,windows,insulation_wall,insulation_roof,311.935470952318,238.862385484676,123.200291216484,311.935470952318,238.862385484676,123.200291216484
21790,insulation_roof,windows,insulation_wall,308.828412718287,255.091150661316,116.695826114261,308.828412718287,255.091150661316,116.695826114261
21791,insulation_wall,windows,insulation_roof,278.97593981164,236.860691946254,75.5960803889993,278.97593981164,236.860691946254,75.5960803889993
21792,insulation_wall,windows,insulation_roof,260.750711447123,143.208661308457,17.474075364682,260.750711447123,143.208661308457,17.474075364682
21793,insulation_wall,windows,insulation_roof,423.992053544125,301.631962409399,164.405015788439,423.992053544125,301.631962409399,164.405015788439
21794,insulation_wall,windows,insulation_roof,185.375968081656,99.4532788901888,52.6367017656994,185.375968081656,99.4532788901888,52.6367017656994
21795,insulation_wall,windows,insulation_roof,166.718532900988,151.449387667445,97.7683982960389,166.718532900988,151.449387667445,97.7683982960389
21796,insulation_wall,windows,insulation_roof,272.670862731509,208.643299517971,34.7208844310208,272.670862731509,208.643299517971,34.7208844310208
21797,insulation_roof,windows,insulation_wall,79.2396892938205,73.3348171627095,64.4263381796213,79.2396892938205,73.3348171627095,64.4263381796213
21798,insulation_roof,insulation_wall,windows,238.704664638813,92.3876504160207,25.8314124217159,238.704664638813,92.3876504160207,25.8314124217159
21799,insulation_wall,windows,insulation_roof,107.068253932282,31.585046174283,23.592308500426,107.068253932282,31.585046174283,23.592308500426
21800,insulation_wall,windows,insulation_roof,321.241045813942,162.508139100928,96.8979647355336,321.241045813942,162.508139100928,96.8979647355336
21801,insulation_roof,insulation_wall,windows,247.522687640573,122.423598898886,25.7424450062381,247.522687640573,122.423598898886,25.7424450062381
21802,insulation_wall,insulation_roof,windows,291.580538166025,187.25323535823,82.0385843676158,291.580538166025,187.25323535823,82.0385843676158
21803,insulation_wall,windows,insulation_roof,501.99040624261,301.464313975132,141.438840568104,501.99040624261,301.464313975132,141.438840568104
21804,insulation_wall,windows,insulation_roof,462.306048745511,117.178576214219,102.530639918477,462.306048745511,117.178576214219,102.530639918477
21805,insulation_wall,windows,insulation_roof,152.488080572354,74.4334544079911,0,152.488080572354,74.4334544079911,0
21806,insulation_wall,insulation_roof,windows,259.322117981057,86.591498676009,60.515681024528,259.322117981057,86.591498676009,60.515681024528
21807,insulation_wall,insulation_roof,windows,218.928072322307,131.32110019344,57.2006120516344,218.928072322307,131.32110019344,57.2006120516344
21808,insulation_wall,insulation_roof,windows,68.1864270436627,23.2601341654104,17.2976683855809,68.1864270436627,23.2601341654104,17.2976683855809
21809,insulation_wall,windows,insulation_roof,196.363468725399,100.892976948771,41.4120736606969,196.363468725399,100.892976948771,41.4120736606969
21810,insulation_wall,windows,insulation_roof,88.3592096020275,48.5853167232235,23.2190576020348,88.3592096020275,48.5853167232235,23.2190576020348
21811,insulation_wall,insulation_roof,windows,550.591065621025,367.457200122679,74.7380040939788,550.591065621025,367.457200122679,74.7380040939788
21812,insulation_wall,insulation_roof,windows,157.53558253531,48.5124833631317,5.46092693401624,157.53558253531,48.5124833631317,5.46092693401624
21813,insulation_roof,insulation_wall,windows,319.774549673319,134.337922614181,87.2671625727762,319.774549673319,134.337922614181,87.2671625727762
21814,insulation_wall,windows,insulation_roof,96.2829882475462,51.3884869048034,15.6579673163778,96.2829882475462,51.3884869048034,15.6579673163778
21815,insulation_wall,insulation_roof,windows,282.433349858395,262.734064929939,138.517541049732,282.433349858395,262.734064929939,138.517541049732
21816,insulation_wall,insulation_roof,windows,311.333380278685,143.047949683759,66.3625634042319,311.333380278685,143.047949683759,66.3625634042319
21817,insulation_wall,windows,insulation_roof,351.681347840482,154.285023552116,10.1329149845787,351.681347840482,154.285023552116,10.1329149845787
