Feature,Gain,Cover,Frequency
NoOilBoilerHeatingPumps,0.000107538471110228,3.27158017149641e-05,0.000750187546886722
age_band_bin_1929_0__1949_0_,0.000103531814882248,0.00470080320314458,0.00337584396099025
ThirdFloorHeight,9.19358037918584e-05,0.00505800105933593,0.00300075018754689
DwellingTypeDescrSemi_detached_house,9.16351628117766e-05,3.25863196501291e-05,0.000375093773443361
CountyNameCo__Cavan,9.12339221936361e-05,0.0262558120182836,0.0172543135783946
SecondFloorHeight,6.17719424927671e-05,0.014844341840938,0.0105026256564141
CountyNameCo__Monaghan,4.46908295954643e-05,0.0133464069935508,0.00975243810952738
CountyCavan,2.28565175337755e-05,0.00250681593589291,0.00150037509377344
MainSpaceHeatingFuelElectricity,1.78360431457293e-05,0.000239326016503266,0.00150037509377344
CountyGalway,1.6322695335858e-05,0.00320627805013131,0.00300075018754689
SuspendedWoodenFloorYes__Unsealed_,1.42225031136125e-05,0.000117094947299073,0.00150037509377344
CountyMonaghan,1.00253867611499e-05,0.000672357201999617,0.000375093773443361
CountyNameCo__Galway,9.94750278688409e-06,0.00257695205434518,0.0018754688672168
MainWaterHeatingFuelSolid_Multi_Fuel,8.46535408935886e-06,0.00765256267449866,0.00487621905476369
SuspendedWoodenFloorNo,8.27988518567527e-06,0.00426582978667571,0.00300075018754689
SupplSHFuel,7.24836225458475e-06,0.00019871180883337,0.00300075018754689
MainWaterHeatingFuelMains_Gas,6.61235981602469e-06,3.10325348721097e-05,0.00112528132033008
UndergroundHeatingYES,6.23878027238328e-06,0.00355773553478165,0.00225056264066016
HeatSystemControlCat,6.05078714044769e-06,6.36188545222388e-05,0.00112528132033008
WHEffAdjFactor,5.87405406962061e-06,9.76294768855523e-05,0.00150037509377344
FanPowerManuDeclaredValue,4.88760927546623e-06,0.00512304421657136,0.00375093773443361
age_band_bin_1949_0__1966_0_,4.86645639822489e-06,0.00769524859520592,0.00487621905476369
HSEffAdjFactor,4.57092013679011e-06,0.000114246341872704,0.0018754688672168
HSSupplSystemEff,4.03363502062643e-06,0.000581158667667534,0.00450112528132033
CombinedCylinderYES,4.03161101441865e-06,0.00738716760227529,0.00487621905476369
CountyNameCo__Wexford,2.94224959836218e-06,0.0010850165426286,0.000750187546886722
CylinderStatYES,2.39947922196834e-06,0.00209368182769286,0.00150037509377344
DwellingTypeDescrDetached_house,1.69411090447999e-06,0.000111440897134614,0.00225056264066016
CountyNameCo__Cork,8.92809892901447e-07,5.69289478390997e-05,0.000375093773443361
AgeBandB,7.9144110205697e-07,0.000606968759257968,0.000375093773443361
ThermalEraPre,7.45852844604216e-07,0.0016425663138079,0.00150037509377344
CountyNameCo__Tipperary,2.46090070046918e-07,0.00158412674187906,0.00112528132033008
VentilationMethodBal_whole_mech_vent_heat_recvr,2.35031378575443e-07,0.000510288817514538,0.000375093773443361
AgeBandI,2.24973402498871e-07,1.23871175358769e-05,0.000375093773443361
CountyNameCo__Kildare,2.08181653876613e-07,0.000567563050859865,0.000375093773443361
NoOfSidesSheltered,1.41079805117655e-07,3.56075678296113e-05,0.000750187546886722
DwellingTypeDescrEnd_of_terrace_house,1.29734132884177e-07,5.14907011160318e-05,0.000375093773443361
MainSpaceHeatingFuelMains_Gas,1.09971790454524e-07,1.66600256754302e-05,0.000375093773443361
HeatExchangerEff,2.9202322783541e-08,0.000464797452069193,0.000375093773443361
VentilationMethodNatural_vent_,2.77657457413896e-08,0.000472739018712403,0.000375093773443361
DwellingTypeDescrHouse,1.67167550323838e-08,0.000479774210901768,0.000375093773443361
MainWaterHeatingFuelHeating_Oil,1.65816890380586e-08,2.35225751116826e-05,0.000375093773443361
CountyNameCo__Roscommon,1.47072231635769e-08,0.000552111524456227,0.000375093773443361
NoCentralHeatingPumps,1.13016433977258e-08,0.000519525204806098,0.000375093773443361
