County,DwellingTypeDescr,AgeBand,CO2_decile,N
Dublin,Semi-detached house,H,"(5.57e+03,6.56e+03]",24
Cork,Mid-terrace house,I,"(2.5e+03,3.1e+03]",24
Dublin,Semi-detached house,E,"(7.83e+03,9.82e+03]",23
Galway,Detached house,D,"(9.82e+03,3.55e+04]",23
Clare,Detached house,E,"(9.82e+03,3.55e+04]",23
Galway,Detached house,G,"(5.57e+03,6.56e+03]",23
Tipperary,Detached house,I,"(7.83e+03,9.82e+03]",23
Tipperary,Detached house,I,"(6.56e+03,7.83e+03]",23
Dublin,Detached house,I,"(4.78e+03,5.57e+03]",23
Dublin,Detached house,G,"(7.83e+03,9.82e+03]",23
Cork,Detached house,J,"(4.78e+03,5.57e+03]",23
Dublin,Ground-floor apartment,G,"(2.5e+03,3.1e+03]",23
Cork,Semi-detached house,J,"(4.22e+03,4.78e+03]",23
Donegal,Semi-detached house,J,"(3.65e+03,4.22e+03]",23
Cork,Semi-detached house,H,"(4.22e+03,4.78e+03]",23
Limerick,Semi-detached house,J,"(4.22e+03,4.78e+03]",23
Cork,Mid-terrace house,G,"(3.1e+03,3.65e+03]",23
Mayo,Detached house,D,"(9.82e+03,3.55e+04]",22
Mayo,Detached house,C,"(9.82e+03,3.55e+04]",22
Dublin,Detached house,F,"(6.56e+03,7.83e+03]",22
Donegal,Detached house,G,"(9.82e+03,3.55e+04]",22
Dublin,Detached house,G,"(5.57e+03,6.56e+03]",22
Dublin,Ground-floor apartment,H,"(3.1e+03,3.65e+03]",22
Dublin,Top-floor apartment,J,"(2.5e+03,3.1e+03]",22
Kerry,Semi-detached house,J,"(4.22e+03,4.78e+03]",22
Louth,Semi-detached house,K,"[324,2.5e+03]",22
Kildare,Semi-detached house,J,"(3.1e+03,3.65e+03]",22
Cork,Semi-detached house,I,"(4.78e+03,5.57e+03]",22
Cork,Semi-detached house,G,"(4.22e+03,4.78e+03]",22
Dublin,Semi-detached house,F,"(4.22e+03,4.78e+03]",22
Galway,Semi-detached house,I,"(3.65e+03,4.22e+03]",22
Kildare,Semi-detached house,I,"(4.22e+03,4.78e+03]",22
Westmeath,Semi-detached house,I,"(4.78e+03,5.57e+03]",22
Dublin,End of terrace house,F,"(3.65e+03,4.22e+03]",22
Donegal,Detached house,I,"(7.83e+03,9.82e+03]",22
Kildare,Detached house,I,"(7.83e+03,9.82e+03]",22
Limerick,Detached house,E,"(9.82e+03,3.55e+04]",21
Louth,Semi-detached house,I,"(3.65e+03,4.22e+03]",21
Donegal,Detached house,E,"(9.82e+03,3.55e+04]",21
Limerick,Detached house,I,"(7.83e+03,9.82e+03]",21
Meath,Detached house,I,"(6.56e+03,7.83e+03]",21
Kerry,Detached house,I,"(9.82e+03,3.55e+04]",21
Galway,Detached house,H,"(9.82e+03,3.55e+04]",21
Galway,Detached house,H,"(6.56e+03,7.83e+03]",21
Donegal,Detached house,J,"(6.56e+03,7.83e+03]",21
Cork,Semi-detached house,G,"(3.65e+03,4.22e+03]",21
Dublin,Mid-terrace house,E,"(3.65e+03,4.22e+03]",21
Tipperary,Semi-detached house,J,"(4.22e+03,4.78e+03]",21
Dublin,End of terrace house,K,"(2.5e+03,3.1e+03]",21
Cork,Semi-detached house,G,"(4.78e+03,5.57e+03]",21
Tipperary,Semi-detached house,I,"(4.78e+03,5.57e+03]",21
Wexford,Semi-detached house,I,"(4.22e+03,4.78e+03]",21
Dublin,End of terrace house,F,"(3.1e+03,3.65e+03]",21
Dublin,End of terrace house,G,"(2.5e+03,3.1e+03]",21
Kerry,Detached house,H,"(6.56e+03,7.83e+03]",21
Dublin,Mid-terrace house,F,"[324,2.5e+03]",21
Dublin,Detached house,E,"(7.83e+03,9.82e+03]",20
Dublin,Detached house,E,"(9.82e+03,3.55e+04]",20
Cavan,Detached house,I,"(6.56e+03,7.83e+03]",20
Donegal,Detached house,H,"(6.56e+03,7.83e+03]",20
Kerry,Detached house,G,"(7.83e+03,9.82e+03]",20
Meath,Detached house,H,"(5.57e+03,6.56e+03]",20
Wexford,Detached house,J,"(7.83e+03,9.82e+03]",20
Cork,Detached house,G,"(4.78e+03,5.57e+03]",20
Galway,Detached house,F,"(7.83e+03,9.82e+03]",20
Kerry,Detached house,J,"(6.56e+03,7.83e+03]",20
Dublin,Mid-floor apartment,G,"[324,2.5e+03]",20
Limerick,Semi-detached house,I,"(3.65e+03,4.22e+03]",20
Limerick,Semi-detached house,H,"(4.22e+03,4.78e+03]",20
Wexford,Semi-detached house,I,"(4.78e+03,5.57e+03]",20
Sligo,Semi-detached house,J,"(3.65e+03,4.22e+03]",20
Dublin,End of terrace house,G,"(4.22e+03,4.78e+03]",20
Dublin,End of terrace house,F,"(2.5e+03,3.1e+03]",20
