County,DwellingTypeDescr,AgeBand,CO2_decile,N
Cork,Mid-terrace house,E,"(3.1e+03,3.65e+03]",2
Clare,Mid-terrace house,D,"(6.56e+03,7.83e+03]",2
Donegal,Mid-terrace house,E,"(4.78e+03,5.57e+03]",2
Louth,Mid-terrace house,B,"(4.78e+03,5.57e+03]",2
Wicklow,Mid-terrace house,C,"(3.65e+03,4.22e+03]",2
Galway,Mid-terrace house,B,"(9.82e+03,3.55e+04]",2
Limerick,Mid-terrace house,D,"(7.83e+03,9.82e+03]",2
Louth,Mid-terrace house,E,"(6.56e+03,7.83e+03]",2
Cork,Mid-terrace house,B,"(7.83e+03,9.82e+03]",2
Kildare,Mid-terrace house,E,"(7.83e+03,9.82e+03]",2
Mayo,Mid-terrace house,B,"(4.78e+03,5.57e+03]",2
Louth,Mid-terrace house,B,"(5.57e+03,6.56e+03]",2
Cork,Mid-terrace house,B,"(9.82e+03,3.55e+04]",2
Cork,Mid-terrace house,D,"[324,2.5e+03]",2
Dublin,Semi-detached house,D,"(3.1e+03,3.65e+03]",2
Dublin,House,E,"(9.82e+03,3.55e+04]",2
Cork,End of terrace house,A,"(7.83e+03,9.82e+03]",2
Dublin,Mid-terrace house,E,"(7.83e+03,9.82e+03]",2
Dublin,Mid-terrace house,A,"(9.82e+03,3.55e+04]",2
Wicklow,Mid-terrace house,E,"(9.82e+03,3.55e+04]",2
Wicklow,Mid-terrace house,E,"(7.83e+03,9.82e+03]",2
Kildare,Semi-detached house,K,"(4.22e+03,4.78e+03]",2
Cork,Semi-detached house,K,"(3.65e+03,4.22e+03]",2
Mayo,Semi-detached house,J,"(2.5e+03,3.1e+03]",2
Cavan,Semi-detached house,J,"[324,2.5e+03]",2
Longford,Semi-detached house,K,"(2.5e+03,3.1e+03]",2
Monaghan,Semi-detached house,K,"(2.5e+03,3.1e+03]",2
Monaghan,Semi-detached house,K,"[324,2.5e+03]",2
Dublin,End of terrace house,K,"(4.78e+03,5.57e+03]",2
Wexford,End of terrace house,J,"(3.1e+03,3.65e+03]",2
Laois,End of terrace house,J,"(3.1e+03,3.65e+03]",2
Meath,End of terrace house,J,"[324,2.5e+03]",2
Limerick,End of terrace house,K,"(2.5e+03,3.1e+03]",2
Monaghan,End of terrace house,K,"[324,2.5e+03]",2
Laois,End of terrace house,K,"[324,2.5e+03]",2
Westmeath,End of terrace house,J,"(3.65e+03,4.22e+03]",2
Galway,End of terrace house,J,"[324,2.5e+03]",2
Kerry,End of terrace house,J,"(3.1e+03,3.65e+03]",2
Mayo,Detached house,J,"(4.22e+03,4.78e+03]",2
Monaghan,Detached house,J,"(3.65e+03,4.22e+03]",2
Kerry,Detached house,K,"(5.57e+03,6.56e+03]",2
Mayo,Detached house,K,"(2.5e+03,3.1e+03]",2
Kildare,Detached house,K,"(3.1e+03,3.65e+03]",2
Limerick,Detached house,K,"(2.5e+03,3.1e+03]",2
Meath,Detached house,K,"(3.1e+03,3.65e+03]",2
Kildare,Detached house,K,"(7.83e+03,9.82e+03]",2
Dublin,Mid-terrace house,K,"(3.65e+03,4.22e+03]",2
Dublin,Mid-terrace house,K,"(4.22e+03,4.78e+03]",2
Wicklow,Mid-terrace house,K,"(2.5e+03,3.1e+03]",2
Clare,Mid-terrace house,I,"(3.1e+03,3.65e+03]",2
Mayo,Mid-terrace house,J,"(3.65e+03,4.22e+03]",2
Cork,Mid-terrace house,K,"(2.5e+03,3.1e+03]",2
Louth,House,J,"[324,2.5e+03]",2
Louth,House,K,"(4.78e+03,5.57e+03]",2
Monaghan,House,J,"(6.56e+03,7.83e+03]",2
Wicklow,House,K,"[324,2.5e+03]",2
Donegal,House,K,"(4.78e+03,5.57e+03]",2
Cork,House,K,"[324,2.5e+03]",2
Kerry,House,J,"(6.56e+03,7.83e+03]",2
Offaly,House,J,"(3.1e+03,3.65e+03]",2
Mayo,House,J,"(5.57e+03,6.56e+03]",2
Kerry,House,J,"(3.65e+03,4.22e+03]",2
Galway,House,J,"(4.22e+03,4.78e+03]",2
Cavan,House,J,"(4.78e+03,5.57e+03]",2
Galway,House,J,"(3.1e+03,3.65e+03]",2
Tipperary,House,J,"(4.22e+03,4.78e+03]",2
Mayo,House,J,"(4.78e+03,5.57e+03]",2
Kilkenny,Semi-detached house,H,"(2.5e+03,3.1e+03]",2
Meath,Semi-detached house,G,"(9.82e+03,3.55e+04]",2
Waterford,Semi-detached house,I,"(2.5e+03,3.1e+03]",2
Donegal,Semi-detached house,G,"(3.1e+03,3.65e+03]",2
Donegal,Semi-detached house,I,"(7.83e+03,9.82e+03]",2
Louth,Semi-detached house,F,"(5.57e+03,6.56e+03]",2
Louth,Semi-detached house,G,"(5.57e+03,6.56e+03]",2
Donegal,Semi-detached house,K,"(4.22e+03,4.78e+03]",2
Leitrim,Semi-detached house,I,"(3.65e+03,4.22e+03]",2
Mayo,Semi-detached house,J,"(3.1e+03,3.65e+03]",2
Waterford,Semi-detached house,F,"(6.56e+03,7.83e+03]",2
Wexford,Semi-detached house,I,"(2.5e+03,3.1e+03]",2
Mayo,Semi-detached house,H,"(6.56e+03,7.83e+03]",2
Offaly,Semi-detached house,F,"(5.57e+03,6.56e+03]",2
Kerry,Semi-detached house,F,"(5.57e+03,6.56e+03]",2
Kerry,Semi-detached house,F,"(7.83e+03,9.82e+03]",2
Clare,Semi-detached house,G,"(9.82e+03,3.55e+04]",2
Cavan,Semi-detached house,G,"(4.78e+03,5.57e+03]",2
Wicklow,Semi-detached house,G,"(6.56e+03,7.83e+03]",2
Galway,Semi-detached house,I,"(7.83e+03,9.82e+03]",2
Kilkenny,Semi-detached house,J,"(5.57e+03,6.56e+03]",2
Westmeath,Semi-detached house,G,"(7.83e+03,9.82e+03]",2
Sligo,Semi-detached house,H,"(7.83e+03,9.82e+03]",2
Offaly,Semi-detached house,F,"(9.82e+03,3.55e+04]",2
Tipperary,Semi-detached house,H,"(3.65e+03,4.22e+03]",2
Monaghan,Semi-detached house,I,"(6.56e+03,7.83e+03]",2
Kilkenny,Semi-detached house,G,"(3.65e+03,4.22e+03]",2
Kerry,Semi-detached house,I,"(3.1e+03,3.65e+03]",2
Wicklow,Semi-detached house,I,"(6.56e+03,7.83e+03]",2
Westmeath,Semi-detached house,F,"(6.56e+03,7.83e+03]",2
Wexford,Semi-detached house,F,"(4.22e+03,4.78e+03]",2
Waterford,Semi-detached house,G,"[324,2.5e+03]",2
Carlow,Semi-detached house,G,"(4.78e+03,5.57e+03]",2
Laois,Semi-detached house,J,"(7.83e+03,9.82e+03]",2
Donegal,Semi-detached house,G,"(4.78e+03,5.57e+03]",2
Offaly,Semi-detached house,G,"(3.65e+03,4.22e+03]",2
Tipperary,Semi-detached house,G,"(6.56e+03,7.83e+03]",2
Leitrim,Semi-detached house,H,"(4.78e+03,5.57e+03]",2
Roscommon,Semi-detached house,G,"(9.82e+03,3.55e+04]",2
Roscommon,Semi-detached house,H,"(7.83e+03,9.82e+03]",2
Longford,Semi-detached house,J,"(3.1e+03,3.65e+03]",2
Cork,Semi-detached house,G,"(6.56e+03,7.83e+03]",2
Roscommon,Semi-detached house,H,"(4.78e+03,5.57e+03]",2
Dublin,Semi-detached house,I,"[324,2.5e+03]",2
Leitrim,Semi-detached house,G,"(3.65e+03,4.22e+03]",2
Waterford,Semi-detached house,G,"(7.83e+03,9.82e+03]",2
Kerry,Semi-detached house,G,"(4.22e+03,4.78e+03]",2
Meath,Semi-detached house,G,"(4.22e+03,4.78e+03]",2
Cavan,Semi-detached house,I,"(2.5e+03,3.1e+03]",2
Donegal,Semi-detached house,F,"(3.65e+03,4.22e+03]",2
Dublin,Semi-detached house,H,"[324,2.5e+03]",2
Kilkenny,Semi-detached house,I,"(2.5e+03,3.1e+03]",2
Donegal,Semi-detached house,H,"(3.1e+03,3.65e+03]",2
Offaly,Semi-detached house,J,"(4.78e+03,5.57e+03]",2
Roscommon,Semi-detached house,G,"(3.65e+03,4.22e+03]",2
Louth,Semi-detached house,G,"(3.1e+03,3.65e+03]",2
Meath,Semi-detached house,G,"(2.5e+03,3.1e+03]",2
Westmeath,Semi-detached house,K,"(3.65e+03,4.22e+03]",2
Cork,Semi-detached house,I,"[324,2.5e+03]",2
Louth,Semi-detached house,H,"(6.56e+03,7.83e+03]",2
Limerick,Semi-detached house,J,"[324,2.5e+03]",2
Wexford,Semi-detached house,G,"(4.22e+03,4.78e+03]",2
Sligo,Semi-detached house,H,"(3.65e+03,4.22e+03]",2
Longford,Semi-detached house,I,"(5.57e+03,6.56e+03]",2
Clare,Semi-detached house,G,"(4.22e+03,4.78e+03]",2
Limerick,Semi-detached house,G,"(6.56e+03,7.83e+03]",2
Waterford,Semi-detached house,I,"(6.56e+03,7.83e+03]",2
Kilkenny,Semi-detached house,F,"(7.83e+03,9.82e+03]",2
Westmeath,Semi-detached house,G,"(4.22e+03,4.78e+03]",2
Tipperary,Semi-detached house,F,"(6.56e+03,7.83e+03]",2
Meath,Semi-detached house,F,"(6.56e+03,7.83e+03]",2
Offaly,Semi-detached house,I,"(9.82e+03,3.55e+04]",2
Monaghan,Semi-detached house,H,"(3.1e+03,3.65e+03]",2
Tipperary,Semi-detached house,H,"(3.1e+03,3.65e+03]",2
Kerry,Semi-detached house,K,"(2.5e+03,3.1e+03]",2
Mayo,Semi-detached house,F,"(6.56e+03,7.83e+03]",2
Meath,Semi-detached house,G,"(3.65e+03,4.22e+03]",2
Kilkenny,Semi-detached house,J,"(2.5e+03,3.1e+03]",2
Kerry,Semi-detached house,J,"(7.83e+03,9.82e+03]",2
Monaghan,Semi-detached house,G,"(3.65e+03,4.22e+03]",2
Kerry,Semi-detached house,H,"(4.22e+03,4.78e+03]",2
Donegal,Semi-detached house,F,"(5.57e+03,6.56e+03]",2
Meath,Semi-detached house,G,"(4.78e+03,5.57e+03]",2
Mayo,Semi-detached house,H,"(3.1e+03,3.65e+03]",2
Meath,Semi-detached house,I,"(7.83e+03,9.82e+03]",2
Waterford,Semi-detached house,J,"(4.78e+03,5.57e+03]",2
Kerry,Semi-detached house,H,"(7.83e+03,9.82e+03]",2
Kerry,Semi-detached house,G,"(3.65e+03,4.22e+03]",2
Mayo,Semi-detached house,F,"(7.83e+03,9.82e+03]",2
Galway,Semi-detached house,F,"(4.22e+03,4.78e+03]",2
Dublin,Semi-detached house,G,"[324,2.5e+03]",2
Cork,Semi-detached house,F,"(7.83e+03,9.82e+03]",2
Louth,Semi-detached house,I,"(6.56e+03,7.83e+03]",2
Monaghan,Semi-detached house,J,"(5.57e+03,6.56e+03]",2
Galway,Semi-detached house,F,"(3.65e+03,4.22e+03]",2
Kerry,Semi-detached house,H,"(2.5e+03,3.1e+03]",2
Kildare,Semi-detached house,G,"(6.56e+03,7.83e+03]",2
Dublin,Semi-detached house,J,"(4.22e+03,4.78e+03]",2
Kerry,Semi-detached house,F,"(6.56e+03,7.83e+03]",2
Cork,Semi-detached house,G,"[324,2.5e+03]",2
Limerick,Semi-detached house,I,"(2.5e+03,3.1e+03]",2
Westmeath,Semi-detached house,I,"(6.56e+03,7.83e+03]",2
Carlow,Semi-detached house,J,"(4.78e+03,5.57e+03]",2
Tipperary,Semi-detached house,F,"(7.83e+03,9.82e+03]",2
Carlow,Semi-detached house,I,"(2.5e+03,3.1e+03]",2
Mayo,Semi-detached house,F,"(4.22e+03,4.78e+03]",2
Louth,Semi-detached house,H,"(4.78e+03,5.57e+03]",2
Louth,Semi-detached house,F,"(4.78e+03,5.57e+03]",2
Tipperary,Semi-detached house,J,"(7.83e+03,9.82e+03]",2
Cavan,Semi-detached house,I,"(6.56e+03,7.83e+03]",2
Wicklow,Semi-detached house,J,"(4.22e+03,4.78e+03]",2
Donegal,Semi-detached house,F,"(6.56e+03,7.83e+03]",2
Offaly,Semi-detached house,G,"(5.57e+03,6.56e+03]",2
Leitrim,Semi-detached house,I,"(7.83e+03,9.82e+03]",2
Carlow,Semi-detached house,I,"(5.57e+03,6.56e+03]",2
Longford,Semi-detached house,I,"(6.56e+03,7.83e+03]",2
Meath,Semi-detached house,I,"(9.82e+03,3.55e+04]",2
Donegal,Semi-detached house,G,"(3.65e+03,4.22e+03]",2
Wexford,Semi-detached house,J,"(2.5e+03,3.1e+03]",2
Monaghan,Semi-detached house,I,"(3.1e+03,3.65e+03]",2
Longford,Semi-detached house,K,"(5.57e+03,6.56e+03]",2
Mayo,Semi-detached house,H,"(3.65e+03,4.22e+03]",2
Clare,Semi-detached house,H,"(3.1e+03,3.65e+03]",2
Donegal,Semi-detached house,G,"(7.83e+03,9.82e+03]",2
Meath,Semi-detached house,G,"(3.1e+03,3.65e+03]",2
Dublin,Semi-detached house,F,"[324,2.5e+03]",2
Limerick,End of terrace house,H,"(2.5e+03,3.1e+03]",2
Kerry,End of terrace house,J,"(4.22e+03,4.78e+03]",2
Donegal,End of terrace house,J,"(4.22e+03,4.78e+03]",2
Wicklow,End of terrace house,G,"(6.56e+03,7.83e+03]",2
Galway,End of terrace house,I,"(2.5e+03,3.1e+03]",2
Limerick,End of terrace house,G,"(4.22e+03,4.78e+03]",2
Laois,End of terrace house,J,"(3.65e+03,4.22e+03]",2
Kerry,End of terrace house,G,"(3.65e+03,4.22e+03]",2
Carlow,End of terrace house,H,"(3.1e+03,3.65e+03]",2
Clare,End of terrace house,F,"(4.22e+03,4.78e+03]",2
Tipperary,End of terrace house,H,"(3.1e+03,3.65e+03]",2
Limerick,End of terrace house,F,"(3.1e+03,3.65e+03]",2
Kerry,End of terrace house,G,"(6.56e+03,7.83e+03]",2
Wexford,End of terrace house,J,"(6.56e+03,7.83e+03]",2
Cavan,End of terrace house,I,"(7.83e+03,9.82e+03]",2
Donegal,End of terrace house,K,"(3.65e+03,4.22e+03]",2
Cork,End of terrace house,H,"(2.5e+03,3.1e+03]",2
Tipperary,End of terrace house,I,"(3.65e+03,4.22e+03]",2
Kilkenny,End of terrace house,I,"(3.1e+03,3.65e+03]",2
Carlow,End of terrace house,H,"(3.65e+03,4.22e+03]",2
Kildare,End of terrace house,F,"(2.5e+03,3.1e+03]",2
Cork,End of terrace house,I,"(6.56e+03,7.83e+03]",2
Wicklow,End of terrace house,I,"(3.1e+03,3.65e+03]",2
Limerick,End of terrace house,I,"(4.78e+03,5.57e+03]",2
Donegal,End of terrace house,I,"(4.78e+03,5.57e+03]",2
Westmeath,End of terrace house,I,"(3.65e+03,4.22e+03]",2
Wexford,End of terrace house,I,"(5.57e+03,6.56e+03]",2
Kildare,End of terrace house,I,"(4.22e+03,4.78e+03]",2
Monaghan,End of terrace house,I,"(5.57e+03,6.56e+03]",2
Mayo,End of terrace house,H,"(4.78e+03,5.57e+03]",2
Westmeath,End of terrace house,H,"(7.83e+03,9.82e+03]",2
Galway,End of terrace house,G,"(7.83e+03,9.82e+03]",2
Kerry,End of terrace house,I,"(6.56e+03,7.83e+03]",2
Limerick,End of terrace house,I,"(4.22e+03,4.78e+03]",2
Sligo,End of terrace house,J,"(4.22e+03,4.78e+03]",2
Cavan,End of terrace house,J,"(3.65e+03,4.22e+03]",2
Limerick,End of terrace house,J,"(3.1e+03,3.65e+03]",2
Tipperary,End of terrace house,F,"(4.22e+03,4.78e+03]",2
Tipperary,End of terrace house,H,"(4.78e+03,5.57e+03]",2
Galway,End of terrace house,J,"(3.65e+03,4.22e+03]",2
Clare,End of terrace house,H,"(5.57e+03,6.56e+03]",2
Kerry,End of terrace house,G,"(4.22e+03,4.78e+03]",2
Laois,End of terrace house,I,"(3.65e+03,4.22e+03]",2
Meath,End of terrace house,I,"(4.22e+03,4.78e+03]",2
Kildare,End of terrace house,F,"(4.22e+03,4.78e+03]",2
Dublin,End of terrace house,G,"(6.56e+03,7.83e+03]",2
Clare,End of terrace house,I,"(4.22e+03,4.78e+03]",2
Kildare,End of terrace house,G,"(2.5e+03,3.1e+03]",2
Wexford,End of terrace house,I,"(7.83e+03,9.82e+03]",2
Kildare,End of terrace house,I,"(3.1e+03,3.65e+03]",2
Wicklow,End of terrace house,J,"(3.1e+03,3.65e+03]",2
Kilkenny,End of terrace house,J,"(4.22e+03,4.78e+03]",2
Wicklow,End of terrace house,J,"(4.22e+03,4.78e+03]",2
Mayo,End of terrace house,F,"(3.65e+03,4.22e+03]",2
Roscommon,End of terrace house,I,"(4.78e+03,5.57e+03]",2
Carlow,End of terrace house,J,"(4.22e+03,4.78e+03]",2
Clare,End of terrace house,F,"(5.57e+03,6.56e+03]",2
Laois,End of terrace house,K,"(2.5e+03,3.1e+03]",2
Cork,End of terrace house,G,"(4.78e+03,5.57e+03]",2
Sligo,End of terrace house,H,"(3.65e+03,4.22e+03]",2
Cork,End of terrace house,J,"(4.78e+03,5.57e+03]",2
Carlow,End of terrace house,H,"(2.5e+03,3.1e+03]",2
Clare,End of terrace house,F,"(4.78e+03,5.57e+03]",2
Cork,End of terrace house,F,"(7.83e+03,9.82e+03]",2
Wexford,End of terrace house,I,"(4.78e+03,5.57e+03]",2
Limerick,End of terrace house,J,"(3.65e+03,4.22e+03]",2
Meath,End of terrace house,G,"(3.65e+03,4.22e+03]",2
Limerick,End of terrace house,G,"(3.1e+03,3.65e+03]",2
Kildare,End of terrace house,G,"(3.1e+03,3.65e+03]",2
Meath,End of terrace house,G,"(4.22e+03,4.78e+03]",2
Cork,End of terrace house,G,"[324,2.5e+03]",2
Laois,End of terrace house,F,"(7.83e+03,9.82e+03]",2
Kilkenny,End of terrace house,J,"(3.1e+03,3.65e+03]",2
Mayo,End of terrace house,J,"(4.78e+03,5.57e+03]",2
Donegal,End of terrace house,G,"(4.22e+03,4.78e+03]",2
Cork,End of terrace house,F,"(5.57e+03,6.56e+03]",2
Donegal,End of terrace house,G,"(4.78e+03,5.57e+03]",2
Tipperary,Detached house,K,"(6.56e+03,7.83e+03]",2
Kerry,Detached house,J,"(3.65e+03,4.22e+03]",2
Carlow,Detached house,H,"(6.56e+03,7.83e+03]",2
Limerick,Detached house,F,"(3.65e+03,4.22e+03]",2
Carlow,Detached house,F,"(9.82e+03,3.55e+04]",2
Laois,Detached house,I,"(3.1e+03,3.65e+03]",2
Longford,Detached house,H,"(7.83e+03,9.82e+03]",2
Carlow,Detached house,J,"(9.82e+03,3.55e+04]",2
Limerick,Detached house,J,"(9.82e+03,3.55e+04]",2
Wexford,Detached house,K,"(7.83e+03,9.82e+03]",2
Waterford,Detached house,H,"(4.22e+03,4.78e+03]",2
Roscommon,Detached house,I,"(9.82e+03,3.55e+04]",2
Cork,Detached house,J,"[324,2.5e+03]",2
Kilkenny,Detached house,H,"(9.82e+03,3.55e+04]",2
Meath,Detached house,J,"(3.1e+03,3.65e+03]",2
Mayo,Detached house,K,"(7.83e+03,9.82e+03]",2
Laois,Detached house,K,"(4.22e+03,4.78e+03]",2
Westmeath,Detached house,J,"(3.65e+03,4.22e+03]",2
Monaghan,Detached house,J,"(5.57e+03,6.56e+03]",2
Monaghan,Detached house,K,"(6.56e+03,7.83e+03]",2
Galway,Detached house,K,"(4.78e+03,5.57e+03]",2
Monaghan,Detached house,I,"(6.56e+03,7.83e+03]",2
Westmeath,Detached house,J,"[324,2.5e+03]",2
Longford,Detached house,K,"(4.78e+03,5.57e+03]",2
Dublin,Detached house,K,"(4.22e+03,4.78e+03]",2
Carlow,Detached house,J,"(3.65e+03,4.22e+03]",2
Waterford,Detached house,H,"(3.1e+03,3.65e+03]",2
Clare,Detached house,G,"(4.78e+03,5.57e+03]",2
Roscommon,Detached house,I,"[324,2.5e+03]",2
Laois,Detached house,K,"(6.56e+03,7.83e+03]",2
Wicklow,Detached house,K,"(4.78e+03,5.57e+03]",2
Clare,Detached house,F,"(5.57e+03,6.56e+03]",2
Tipperary,Detached house,I,"(4.22e+03,4.78e+03]",2
Kildare,Detached house,J,"(9.82e+03,3.55e+04]",2
Cavan,Detached house,J,"(3.65e+03,4.22e+03]",2
Kilkenny,Detached house,J,"(9.82e+03,3.55e+04]",2
Monaghan,Detached house,J,"(9.82e+03,3.55e+04]",2
Clare,Detached house,J,"(4.78e+03,5.57e+03]",2
Limerick,Detached house,G,"(4.22e+03,4.78e+03]",2
Wicklow,Detached house,J,"(9.82e+03,3.55e+04]",2
Waterford,Detached house,I,"(3.1e+03,3.65e+03]",2
Waterford,Detached house,I,"(2.5e+03,3.1e+03]",2
Mayo,Detached house,H,"(3.65e+03,4.22e+03]",2
Longford,Detached house,G,"(6.56e+03,7.83e+03]",2
Laois,Detached house,H,"(7.83e+03,9.82e+03]",2
Donegal,Detached house,J,"(3.65e+03,4.22e+03]",2
Sligo,Detached house,G,"(4.22e+03,4.78e+03]",2
Clare,Detached house,K,"(2.5e+03,3.1e+03]",2
Limerick,Detached house,J,"(4.22e+03,4.78e+03]",2
Carlow,Detached house,H,"(4.78e+03,5.57e+03]",2
Donegal,Detached house,F,"(3.1e+03,3.65e+03]",2
Kerry,Detached house,I,"(3.65e+03,4.22e+03]",2
Cavan,Mid-terrace house,I,"(3.1e+03,3.65e+03]",2
Clare,Mid-terrace house,F,"(5.57e+03,6.56e+03]",2
Galway,Mid-terrace house,G,"(4.78e+03,5.57e+03]",2
Galway,Mid-terrace house,F,"(5.57e+03,6.56e+03]",2
Clare,Mid-terrace house,I,"(4.22e+03,4.78e+03]",2
Kilkenny,Mid-terrace house,F,"(5.57e+03,6.56e+03]",2
Cork,Mid-terrace house,J,"(5.57e+03,6.56e+03]",2
Tipperary,Mid-terrace house,G,"(3.65e+03,4.22e+03]",2
Kilkenny,Mid-terrace house,G,"(2.5e+03,3.1e+03]",2
Tipperary,Mid-terrace house,I,"(3.65e+03,4.22e+03]",2
Kilkenny,Mid-terrace house,J,"(4.78e+03,5.57e+03]",2
Cavan,Mid-terrace house,G,"(2.5e+03,3.1e+03]",2
Clare,Mid-terrace house,G,"(4.78e+03,5.57e+03]",2
Donegal,Mid-terrace house,F,"(3.65e+03,4.22e+03]",2
Louth,Mid-terrace house,G,"(3.65e+03,4.22e+03]",2
Limerick,Mid-terrace house,H,"[324,2.5e+03]",2
Limerick,Mid-terrace house,H,"(3.1e+03,3.65e+03]",2
Mayo,Mid-terrace house,F,"(4.22e+03,4.78e+03]",2
Limerick,Mid-terrace house,G,"(6.56e+03,7.83e+03]",2
Cork,Mid-terrace house,G,"(6.56e+03,7.83e+03]",2
Cork,Mid-terrace house,H,"(4.22e+03,4.78e+03]",2
Waterford,Mid-terrace house,H,"(2.5e+03,3.1e+03]",2
Tipperary,Mid-terrace house,I,"(2.5e+03,3.1e+03]",2
Kilkenny,Mid-terrace house,F,"(4.22e+03,4.78e+03]",2
Donegal,Mid-terrace house,J,"(4.22e+03,4.78e+03]",2
Waterford,Mid-terrace house,I,"(4.22e+03,4.78e+03]",2
Galway,Mid-terrace house,G,"(3.1e+03,3.65e+03]",2
Kerry,Mid-terrace house,J,"(5.57e+03,6.56e+03]",2
Laois,Mid-terrace house,I,"(3.65e+03,4.22e+03]",2
Wicklow,Mid-terrace house,H,"(3.1e+03,3.65e+03]",2
Clare,Mid-terrace house,I,"(3.65e+03,4.22e+03]",2
Carlow,Mid-terrace house,F,"(6.56e+03,7.83e+03]",2
Waterford,Mid-terrace house,H,"[324,2.5e+03]",2
Cork,Mid-terrace house,I,"(6.56e+03,7.83e+03]",2
Carlow,Mid-terrace house,G,"(4.78e+03,5.57e+03]",2
Meath,Mid-terrace house,F,"(3.1e+03,3.65e+03]",2
Louth,Mid-terrace house,I,"(4.22e+03,4.78e+03]",2
Sligo,Mid-terrace house,I,"(2.5e+03,3.1e+03]",2
Kildare,Mid-terrace house,G,"(5.57e+03,6.56e+03]",2
Tipperary,Mid-terrace house,G,"(2.5e+03,3.1e+03]",2
Carlow,Mid-terrace house,I,"(4.22e+03,4.78e+03]",2
Laois,Mid-terrace house,I,"(3.1e+03,3.65e+03]",2
Tipperary,Mid-terrace house,I,"(3.1e+03,3.65e+03]",2
Westmeath,Mid-terrace house,I,"(3.1e+03,3.65e+03]",2
Waterford,Mid-terrace house,I,"(3.1e+03,3.65e+03]",2
Waterford,Mid-terrace house,I,"[324,2.5e+03]",2
Carlow,Mid-terrace house,I,"(7.83e+03,9.82e+03]",2
Galway,Mid-terrace house,J,"[324,2.5e+03]",2
Kerry,Mid-terrace house,J,"(2.5e+03,3.1e+03]",2
Limerick,Mid-terrace house,J,"(3.1e+03,3.65e+03]",2
Donegal,Mid-terrace house,I,"(3.1e+03,3.65e+03]",2
Tipperary,Mid-terrace house,J,"(2.5e+03,3.1e+03]",2
Kilkenny,Mid-terrace house,I,"(4.78e+03,5.57e+03]",2
Longford,Mid-terrace house,J,"[324,2.5e+03]",2
Limerick,Mid-terrace house,J,"(5.57e+03,6.56e+03]",2
Dublin,Mid-terrace house,F,"(5.57e+03,6.56e+03]",2
Kerry,Mid-terrace house,J,"[324,2.5e+03]",2
Mayo,Mid-terrace house,I,"(3.65e+03,4.22e+03]",2
Sligo,Mid-terrace house,I,"(3.65e+03,4.22e+03]",2
Carlow,Mid-terrace house,H,"(2.5e+03,3.1e+03]",2
Carlow,Mid-terrace house,H,"[324,2.5e+03]",2
Offaly,Mid-terrace house,I,"(2.5e+03,3.1e+03]",2
Longford,Mid-terrace house,J,"(3.1e+03,3.65e+03]",2
Westmeath,Mid-terrace house,G,"(2.5e+03,3.1e+03]",2
Kilkenny,Mid-terrace house,F,"[324,2.5e+03]",2
Wicklow,Mid-terrace house,G,"(3.65e+03,4.22e+03]",2
Longford,Mid-terrace house,H,"(6.56e+03,7.83e+03]",2
Cork,Mid-terrace house,G,"(5.57e+03,6.56e+03]",2
Wexford,Mid-terrace house,I,"(7.83e+03,9.82e+03]",2
Limerick,Mid-terrace house,F,"(3.65e+03,4.22e+03]",2
Tipperary,Mid-terrace house,J,"(4.22e+03,4.78e+03]",2
Kildare,Mid-terrace house,G,"(4.22e+03,4.78e+03]",2
Monaghan,Mid-terrace house,F,"(4.22e+03,4.78e+03]",2
Tipperary,Mid-terrace house,G,"(4.22e+03,4.78e+03]",2
Wexford,Mid-terrace house,I,"(4.78e+03,5.57e+03]",2
Tipperary,Mid-terrace house,F,"(4.22e+03,4.78e+03]",2
Galway,Mid-terrace house,J,"(3.65e+03,4.22e+03]",2
Sligo,Mid-terrace house,G,"(3.65e+03,4.22e+03]",2
Mayo,Mid-terrace house,K,"(2.5e+03,3.1e+03]",2
Donegal,Mid-terrace house,H,"(3.65e+03,4.22e+03]",2
Tipperary,Mid-terrace house,H,"(3.65e+03,4.22e+03]",2
Monaghan,Mid-terrace house,J,"[324,2.5e+03]",2
Limerick,Mid-terrace house,G,"(4.22e+03,4.78e+03]",2
Clare,Mid-terrace house,H,"(4.78e+03,5.57e+03]",2
Galway,Mid-terrace house,H,"(4.22e+03,4.78e+03]",2
Limerick,Mid-terrace house,G,"(5.57e+03,6.56e+03]",2
Monaghan,Mid-terrace house,F,"(3.1e+03,3.65e+03]",2
Mayo,Mid-terrace house,G,"(3.65e+03,4.22e+03]",2
Kilkenny,Mid-terrace house,I,"[324,2.5e+03]",2
Meath,Mid-terrace house,G,"(3.1e+03,3.65e+03]",2
Roscommon,Mid-terrace house,J,"(4.22e+03,4.78e+03]",2
Meath,Mid-terrace house,H,"(3.65e+03,4.22e+03]",2
Kilkenny,Mid-terrace house,I,"(3.65e+03,4.22e+03]",2
Meath,Mid-terrace house,I,"(4.22e+03,4.78e+03]",2
Kildare,Maisonette,I,"(2.5e+03,3.1e+03]",2
Tipperary,House,I,"(5.57e+03,6.56e+03]",2
Mayo,House,H,"(7.83e+03,9.82e+03]",2
Dublin,House,J,"(3.65e+03,4.22e+03]",2
Wexford,House,J,"(4.78e+03,5.57e+03]",2
Louth,House,I,"(7.83e+03,9.82e+03]",2
Donegal,House,I,"(9.82e+03,3.55e+04]",2
Galway,House,J,"(6.56e+03,7.83e+03]",2
