row_id,upgrade,delta_CO2,rank,score
9628,insulation_wall,346.41520479972,1,346.41520479972
9628,insulation_roof,164.803614136351,2,164.803614136351
9628,windows,161.297469413738,3,161.297469413738
9629,insulation_wall,146.943188473702,1,146.943188473702
9629,insulation_roof,98.4785962363676,2,98.4785962363676
9629,windows,0,3,0
9630,insulation_roof,144.714090779485,1,144.714090779485
9630,insulation_wall,88.3239286129992,2,88.3239286129992
9630,windows,62.8332297290372,3,62.8332297290372
9631,insulation_wall,181.123472373562,1,181.123472373562
9631,insulation_roof,47.7645964939911,2,47.7645964939911
9631,windows,1.03862139650118,3,1.03862139650118
9632,insulation_wall,70.1782701075404,1,70.1782701075404
9632,windows,53.9699730153379,2,53.9699730153379
9632,insulation_roof,13.6460561202371,3,13.6460561202371
9633,insulation_wall,169.024210346332,1,169.024210346332
9633,insulation_roof,66.5244262076021,2,66.5244262076021
9633,windows,24.9137180419284,3,24.9137180419284
9634,windows,111.236516753036,1,111.236516753036
9634,insulation_wall,100.391187640991,2,100.391187640991
9634,insulation_roof,11.913677339794,3,11.913677339794
9635,insulation_wall,104.556461712832,1,104.556461712832
9635,windows,59.3342987980122,2,59.3342987980122
9635,insulation_roof,20.8046933993883,3,20.8046933993883
9636,insulation_wall,283.976173378905,1,283.976173378905
9636,windows,133.253019576279,2,133.253019576279
9636,insulation_roof,112.849630607074,3,112.849630607074
9637,insulation_wall,295.087038884242,1,295.087038884242
9637,insulation_roof,75.8861324960226,2,75.8861324960226
9637,windows,44.9714893566788,3,44.9714893566788
9638,insulation_wall,295.087038884242,1,295.087038884242
9638,insulation_roof,75.8861324960226,2,75.8861324960226
9638,windows,44.9714893566788,3,44.9714893566788
9639,insulation_wall,295.087038884242,1,295.087038884242
9639,insulation_roof,75.8861324960226,2,75.8861324960226
9639,windows,44.9714893566788,3,44.9714893566788
9640,insulation_wall,280.022593748875,1,280.022593748875
9640,insulation_roof,124.499910880269,2,124.499910880269
9640,windows,17.4926684499478,3,17.4926684499478
9641,windows,55.5382683186017,1,55.5382683186017
9641,insulation_wall,25.116044869189,2,25.116044869189
9641,insulation_roof,15.6129095178467,3,15.6129095178467
9642,insulation_wall,283.113267825117,1,283.113267825117
9642,insulation_roof,87.8274920401364,2,87.8274920401364
9642,windows,79.1726764957393,3,79.1726764957393
9643,insulation_roof,143.161516783443,1,143.161516783443
9643,windows,66.9627964167148,2,66.9627964167148
9643,insulation_wall,13.9043543831331,3,13.9043543831331
9644,insulation_wall,270.419018319522,1,270.419018319522
9644,windows,73.8861724007375,2,73.8861724007375
9644,insulation_roof,67.4632220597314,3,67.4632220597314
9645,insulation_wall,207.389314584017,1,207.389314584017
9645,insulation_roof,101.134047720663,2,101.134047720663
9645,windows,24.9109678303271,3,24.9109678303271
9646,insulation_wall,321.085903677574,1,321.085903677574
9646,insulation_roof,156.700403175547,2,156.700403175547
9646,windows,86.6180019717849,3,86.6180019717849
9647,insulation_wall,121.828937738553,1,121.828937738553
9647,insulation_roof,91.5187943760711,2,91.5187943760711
9647,windows,89.5701954251481,3,89.5701954251481
9648,insulation_wall,283.976173378905,1,283.976173378905
9648,windows,133.253019576279,2,133.253019576279
9648,insulation_roof,112.849630607074,3,112.849630607074
9649,insulation_wall,224.252463959659,1,224.252463959659
9649,insulation_roof,90.5657942026128,2,90.5657942026128
9649,windows,56.5463638580568,3,56.5463638580568
9650,insulation_roof,205.678159090246,1,205.678159090246
9650,insulation_wall,76.4385900176048,2,76.4385900176048
9650,windows,24.1759235697737,3,24.1759235697737
9651,insulation_wall,255.400007480706,1,255.400007480706
9651,insulation_roof,93.0846488953148,2,93.0846488953148
9651,windows,0,3,0
9652,insulation_wall,98.6738467074674,1,98.6738467074674
9652,insulation_roof,76.6494479890316,2,76.6494479890316
9652,windows,73.483101532308,3,73.483101532308
9653,insulation_wall,256.896676369952,1,256.896676369952
9653,windows,75.1015541101324,2,75.1015541101324
9653,insulation_roof,67.7801976640394,3,67.7801976640394
9654,insulation_wall,273.056442278155,1,273.056442278155
9654,insulation_roof,154.776348521514,2,154.776348521514
9654,windows,48.6693890083934,3,48.6693890083934
9655,insulation_wall,139.753410174009,1,139.753410174009
9655,windows,36.4595979950354,2,36.4595979950354
9655,insulation_roof,9.73747180484679,3,9.73747180484679
9656,insulation_wall,341.613894472735,1,341.613894472735
9656,windows,122.649452281705,2,122.649452281705
9656,insulation_roof,113.556575051819,3,113.556575051819
9657,insulation_wall,198.626978740636,1,198.626978740636
9657,windows,172.614508674329,2,172.614508674329
9657,insulation_roof,86.0467234110529,3,86.0467234110529
9658,insulation_wall,236.911207325114,1,236.911207325114
9658,insulation_roof,114.627248900805,2,114.627248900805
9658,windows,94.9733520709751,3,94.9733520709751
9659,insulation_wall,97.4574377430599,1,97.4574377430599
9659,insulation_roof,75.2642118175722,2,75.2642118175722
9659,windows,36.0532668092169,3,36.0532668092169
9660,insulation_wall,206.797418345041,1,206.797418345041
9660,insulation_roof,5.40794437315708,2,5.40794437315708
9660,windows,4.41210177120593,3,4.41210177120593
9661,insulation_wall,71.5836306260903,1,71.5836306260903
9661,insulation_roof,38.3174060629176,2,38.3174060629176
9661,windows,0,3,0
9662,insulation_wall,383.56607944355,1,383.56607944355
9662,windows,267.735635173842,2,267.735635173842
9662,insulation_roof,54.8216107103053,3,54.8216107103053
9663,insulation_wall,371.551768688705,1,371.551768688705
9663,windows,304.292106380579,2,304.292106380579
9663,insulation_roof,56.7658895645382,3,56.7658895645382
9664,insulation_wall,192.609982634298,1,192.609982634298
9664,windows,65.7998861360729,2,65.7998861360729
9664,insulation_roof,0,3,0
9665,insulation_wall,120.073372739846,1,120.073372739846
9665,insulation_roof,17.6342949192995,2,17.6342949192995
9665,windows,6.08681881890834,3,6.08681881890834
9666,insulation_wall,198.202858502789,1,198.202858502789
9666,insulation_roof,74.8768958196497,2,74.8768958196497
9666,windows,65.9409675526567,3,65.9409675526567
9667,insulation_wall,119.419855739588,1,119.419855739588
9667,insulation_roof,77.1829448983899,2,77.1829448983899
9667,windows,34.1122940590212,3,34.1122940590212
9668,insulation_wall,194.941385632487,1,194.941385632487
9668,windows,50.8862506891601,2,50.8862506891601
9668,insulation_roof,2.64622948390115,3,2.64622948390115
9669,insulation_wall,557.140347485473,1,557.140347485473
9669,insulation_roof,119.710238358757,2,119.710238358757
9669,windows,98.1685969245154,3,98.1685969245154
9670,insulation_wall,230.100362456473,1,230.100362456473
9670,insulation_roof,110.598359998578,2,110.598359998578
9670,windows,91.9254135696137,3,91.9254135696137
9671,insulation_wall,312.269837568008,1,312.269837568008
9671,windows,104.965701231818,2,104.965701231818
9671,insulation_roof,98.713077209487,3,98.713077209487
9672,insulation_wall,133.993327746957,1,133.993327746957
9672,windows,38.3229893069311,2,38.3229893069311
9672,insulation_roof,8.82014729849652,3,8.82014729849652
9673,insulation_wall,140.750627370496,1,140.750627370496
9673,insulation_roof,66.0602162541827,2,66.0602162541827
9673,windows,64.9059309372306,3,64.9059309372306
9674,insulation_wall,74.80327583606,1,74.80327583606
9674,windows,47.1787273271129,2,47.1787273271129
9674,insulation_roof,31.2186708187437,3,31.2186708187437
9675,insulation_wall,72.1941528141465,1,72.1941528141465
9675,windows,51.6431799437619,2,51.6431799437619
9675,insulation_roof,31.9312684326442,3,31.9312684326442
9676,windows,135.115051356527,1,135.115051356527
9676,insulation_wall,67.75325063933,2,67.75325063933
9676,insulation_roof,39.7318412798604,3,39.7318412798604
9677,insulation_wall,349.565109077963,1,349.565109077963
9677,insulation_roof,219.084925757673,2,219.084925757673
9677,windows,22.5531318220383,3,22.5531318220383
9678,insulation_wall,178.06005498138,1,178.06005498138
9678,windows,23.6308226184656,2,23.6308226184656
9678,insulation_roof,16.0815511470146,3,16.0815511470146
9679,insulation_wall,197.661821528553,1,197.661821528553
9679,windows,60.8790172817708,2,60.8790172817708
9679,insulation_roof,16.1318309359658,3,16.1318309359658
9680,insulation_wall,196.846283429318,1,196.846283429318
9680,insulation_roof,90.166074751824,2,90.166074751824
9680,windows,81.6137330169872,3,81.6137330169872
9681,insulation_wall,638.004977406505,1,638.004977406505
9681,insulation_roof,146.03307947694,2,146.03307947694
9681,windows,92.851043234612,3,92.851043234612
9682,insulation_wall,147.305941367613,1,147.305941367613
9682,insulation_roof,134.356091343532,2,134.356091343532
9682,windows,94.2795743865572,3,94.2795743865572
9683,insulation_wall,189.303870703934,1,189.303870703934
9683,insulation_roof,107.336701089528,2,107.336701089528
9683,windows,35.2194671840298,3,35.2194671840298
9684,insulation_wall,357.128689303944,1,357.128689303944
9684,windows,128.42243130518,2,128.42243130518
9684,insulation_roof,118.705749023241,3,118.705749023241
9685,insulation_wall,253.284487662307,1,253.284487662307
9685,insulation_roof,49.7439131638184,2,49.7439131638184
9685,windows,3.82197902705047,3,3.82197902705047
9686,insulation_roof,230.829599387572,1,230.829599387572
9686,insulation_wall,213.038559060606,2,213.038559060606
9686,windows,101.60742607686,3,101.60742607686
9687,insulation_wall,23.0965427711221,1,23.0965427711221
9687,windows,6.81932651110355,2,6.81932651110355
9687,insulation_roof,1.34445872048946,3,1.34445872048946
9688,insulation_roof,114.82229399683,1,114.82229399683
9688,insulation_wall,110.504848222281,2,110.504848222281
9688,windows,93.0227541226445,3,93.0227541226445
9689,insulation_wall,153.958404420668,1,153.958404420668
9689,windows,76.3465024545162,2,76.3465024545162
9689,insulation_roof,15.8240432386724,3,15.8240432386724
9690,insulation_roof,148.656113553788,1,148.656113553788
9690,insulation_wall,129.220983632922,2,129.220983632922
9690,windows,7.70231179212169,3,7.70231179212169
9691,insulation_roof,43.6266583581014,1,43.6266583581014
9691,insulation_wall,33.3178229725882,2,33.3178229725882
9691,windows,20.8228399047057,3,20.8228399047057
9692,insulation_wall,76.7484639787908,1,76.7484639787908
9692,windows,38.9201891879402,2,38.9201891879402
9692,insulation_roof,4.40713353444153,3,4.40713353444153
9693,insulation_wall,259.566965898169,1,259.566965898169
9693,windows,110.821879479798,2,110.821879479798
9693,insulation_roof,55.443256033851,3,55.443256033851
9694,insulation_wall,58.6983851539003,1,58.6983851539003
9694,insulation_roof,36.394276154499,2,36.394276154499
9694,windows,28.5183665953255,3,28.5183665953255
9695,insulation_wall,19.8159090036069,1,19.8159090036069
9695,insulation_roof,11.5855563059862,2,11.5855563059862
9695,windows,2.09217557150919,3,2.09217557150919
9696,insulation_wall,167.661526718783,1,167.661526718783
9696,windows,60.5255466793042,2,60.5255466793042
9696,insulation_roof,49.9557584566328,3,49.9557584566328
9697,insulation_wall,197.02937127591,1,197.02937127591
9697,insulation_roof,114.155283794272,2,114.155283794272
9697,windows,58.0720743153743,3,58.0720743153743
9698,insulation_wall,156.121692419923,1,156.121692419923
9698,windows,51.7772104099077,2,51.7772104099077
9698,insulation_roof,13.8347308007014,3,13.8347308007014
9699,insulation_wall,313.75363873239,1,313.75363873239
9699,insulation_roof,112.776328370988,2,112.776328370988
9699,windows,33.9169801970056,3,33.9169801970056
9700,insulation_wall,364.989461755599,1,364.989461755599
9700,insulation_roof,150.015964057065,2,150.015964057065
9700,windows,21.7775468473465,3,21.7775468473465
9701,insulation_wall,230.445495499992,1,230.445495499992
9701,insulation_roof,15.8146788326271,2,15.8146788326271
9701,windows,0,3,0
9702,insulation_wall,75.7020812805722,1,75.7020812805722
9702,insulation_roof,33.617104290252,2,33.617104290252
9702,windows,3.25406544544239,3,3.25406544544239
9703,insulation_wall,100.076818942168,1,100.076818942168
9703,insulation_roof,24.4679818886216,2,24.4679818886216
9703,windows,6.84472500257152,3,6.84472500257152
9704,insulation_wall,123.090759898907,1,123.090759898907
9704,windows,104.220710833174,2,104.220710833174
9704,insulation_roof,55.9791305693088,3,55.9791305693088
9705,insulation_wall,125.190177106738,1,125.190177106738
9705,insulation_roof,78.4086842016313,2,78.4086842016313
9705,windows,35.648167051666,3,35.648167051666
9706,insulation_wall,237.884876448206,1,237.884876448206
9706,insulation_roof,126.593317313281,2,126.593317313281
9706,windows,35.148020859081,3,35.148020859081
9707,insulation_wall,76.8891895633378,1,76.8891895633378
9707,windows,21.1350933087147,2,21.1350933087147
9707,insulation_roof,17.6202212192156,3,17.6202212192156
9708,insulation_wall,131.479504728289,1,131.479504728289
9708,windows,22.6969578159305,2,22.6969578159305
9708,insulation_roof,6.49093094710679,3,6.49093094710679
9709,insulation_wall,180.568833359462,1,180.568833359462
9709,insulation_roof,106.678485127512,2,106.678485127512
9709,windows,82.4834907623899,3,82.4834907623899
9710,insulation_wall,189.480585086911,1,189.480585086911
9710,windows,33.5714863320554,2,33.5714863320554
9710,insulation_roof,31.4113432900822,3,31.4113432900822
9711,insulation_wall,139.868696765384,1,139.868696765384
9711,insulation_roof,74.6420203054536,2,74.6420203054536
9711,windows,24.7652287286323,3,24.7652287286323
9712,insulation_wall,141.886735702412,1,141.886735702412
9712,insulation_roof,74.5658389415398,2,74.5658389415398
9712,windows,25.3322130709794,3,25.3322130709794
9713,insulation_wall,197.415470798253,1,197.415470798253
9713,windows,49.53445230545,2,49.53445230545
9713,insulation_roof,27.8290103388017,3,27.8290103388017
9714,insulation_wall,133.223613363779,1,133.223613363779
9714,windows,51.3595274029176,2,51.3595274029176
9714,insulation_roof,42.5864678583721,3,42.5864678583721
9715,insulation_wall,193.805565888189,1,193.805565888189
9715,windows,180.014954925954,2,180.014954925954
9715,insulation_roof,11.0675804940302,3,11.0675804940302
9716,insulation_roof,201.131840649766,1,201.131840649766
9716,insulation_wall,140.944473038638,2,140.944473038638
9716,windows,52.1346067600471,3,52.1346067600471
9717,insulation_wall,175.288781997106,1,175.288781997106
9717,windows,72.7193753676179,2,72.7193753676179
9717,insulation_roof,29.5316282972058,3,29.5316282972058
9718,insulation_wall,108.655771511682,1,108.655771511682
9718,windows,34.4193407808257,2,34.4193407808257
9718,insulation_roof,29.4916104416657,3,29.4916104416657
9719,insulation_wall,291.852237466388,1,291.852237466388
9719,insulation_roof,188.628873056545,2,188.628873056545
9719,windows,79.5432599579908,3,79.5432599579908
9720,insulation_wall,135.565665212215,1,135.565665212215
9720,windows,93.0518575250681,2,93.0518575250681
9720,insulation_roof,85.3506728579632,3,85.3506728579632
9721,insulation_wall,360.101988178267,1,360.101988178267
9721,windows,117.854277078148,2,117.854277078148
9721,insulation_roof,16.3018971308975,3,16.3018971308975
9722,insulation_wall,153.254744064519,1,153.254744064519
9722,windows,36.8141990302611,2,36.8141990302611
9722,insulation_roof,30.6930181817011,3,30.6930181817011
9723,insulation_wall,372.091000980086,1,372.091000980086
9723,insulation_roof,71.1229913594571,2,71.1229913594571
9723,windows,38.3755087963755,3,38.3755087963755
9724,insulation_wall,94.6125639721722,1,94.6125639721722
9724,insulation_roof,22.7575756649094,2,22.7575756649094
9724,windows,21.1775928419534,3,21.1775928419534
9725,insulation_wall,186.477777976761,1,186.477777976761
9725,insulation_roof,93.5283538595177,2,93.5283538595177
9725,windows,72.2105775049058,3,72.2105775049058
9726,insulation_wall,85.1627485699496,1,85.1627485699496
9726,insulation_roof,31.946131464249,2,31.946131464249
9726,windows,8.12058020297354,3,8.12058020297354
9727,insulation_wall,281.638107194519,1,281.638107194519
9727,windows,75.0467126501708,2,75.0467126501708
9727,insulation_roof,14.7438353980706,3,14.7438353980706
9728,insulation_wall,124.537643444141,1,124.537643444141
9728,insulation_roof,117.54079042207,2,117.54079042207
9728,windows,48.0931967420993,3,48.0931967420993
9729,windows,160.222932266927,1,160.222932266927
9729,insulation_wall,119.981297753384,2,119.981297753384
9729,insulation_roof,0,3,0
9730,insulation_wall,396.146491481168,1,396.146491481168
9730,windows,135.309351865586,2,135.309351865586
9730,insulation_roof,95.5070320202349,3,95.5070320202349
9731,insulation_wall,105.048008478354,1,105.048008478354
9731,windows,52.687091699745,2,52.687091699745
9731,insulation_roof,39.1789106157075,3,39.1789106157075
9732,insulation_wall,220.416985712713,1,220.416985712713
9732,insulation_roof,13.3812380418053,2,13.3812380418053
9732,windows,0,3,0
9733,insulation_wall,136.396268935837,1,136.396268935837
9733,insulation_roof,69.8763840741722,2,69.8763840741722
9733,windows,19.1700878814527,3,19.1700878814527
9734,windows,76.3764835867351,1,76.3764835867351
9734,insulation_wall,67.6464186342655,2,67.6464186342655
9734,insulation_roof,14.492493995861,3,14.492493995861
9735,insulation_wall,275.802723276604,1,275.802723276604
9735,insulation_roof,42.4976012350417,2,42.4976012350417
9735,windows,35.9057764255103,3,35.9057764255103
9736,insulation_wall,365.956840252592,1,365.956840252592
9736,insulation_roof,135.124190263356,2,135.124190263356
9736,windows,83.2281148912798,3,83.2281148912798
9737,insulation_wall,77.8971194082883,1,77.8971194082883
9737,windows,44.8003904272855,2,44.8003904272855
9737,insulation_roof,22.8764744016648,3,22.8764744016648
9738,insulation_wall,175.104479062446,1,175.104479062446
9738,windows,93.8573111354881,2,93.8573111354881
9738,insulation_roof,38.2888691818039,3,38.2888691818039
9739,insulation_wall,140.768480789031,1,140.768480789031
9739,insulation_roof,37.5449653889982,2,37.5449653889982
9739,windows,24.3296371538045,3,24.3296371538045
9740,insulation_wall,258.734900490662,1,258.734900490662
9740,insulation_roof,130.314599984967,2,130.314599984967
9740,windows,93.2119799690027,3,93.2119799690027
9741,insulation_wall,123.242998801649,1,123.242998801649
9741,insulation_roof,67.3337508810601,2,67.3337508810601
9741,windows,35.2696893590983,3,35.2696893590983
9742,insulation_wall,126.873928419407,1,126.873928419407
9742,insulation_roof,62.3534543630526,2,62.3534543630526
9742,windows,11.1009823218865,3,11.1009823218865
9743,insulation_wall,117.001440666206,1,117.001440666206
9743,insulation_roof,71.316119623807,2,71.316119623807
9743,windows,34.6666754567914,3,34.6666754567914
9744,insulation_wall,386.038714993075,1,386.038714993075
9744,insulation_roof,101.122753339649,2,101.122753339649
9744,windows,0,3,0
9745,insulation_wall,208.862845012884,1,208.862845012884
9745,windows,27.1748636799521,2,27.1748636799521
9745,insulation_roof,9.97939245066664,3,9.97939245066664
9746,insulation_wall,198.352423556888,1,198.352423556888
9746,windows,47.3273071293134,2,47.3273071293134
9746,insulation_roof,0,3,0
9747,insulation_wall,218.855328700093,1,218.855328700093
9747,insulation_roof,175.340268718114,2,175.340268718114
9747,windows,22.5461233701253,3,22.5461233701253
9748,insulation_wall,210.199863199314,1,210.199863199314
9748,windows,62.402772104153,2,62.402772104153
9748,insulation_roof,32.4722604758745,3,32.4722604758745
9749,insulation_wall,201.514208949245,1,201.514208949245
9749,insulation_roof,45.376546947125,2,45.376546947125
9749,windows,25.5017558018171,3,25.5017558018171
9750,insulation_wall,64.4087279290693,1,64.4087279290693
9750,insulation_roof,20.805715591081,2,20.805715591081
9750,windows,13.6728343630557,3,13.6728343630557
9751,insulation_wall,351.63928679522,1,351.63928679522
9751,insulation_roof,117.341211886075,2,117.341211886075
9751,windows,81.0904137091311,3,81.0904137091311
9752,insulation_wall,365.909776106383,1,365.909776106383
9752,insulation_roof,104.419818636389,2,104.419818636389
9752,windows,32.3658415456557,3,32.3658415456557
9753,insulation_wall,163.969023085032,1,163.969023085032
